,Is_Male,ParentEduc,StandardLunch,TestPrep,PracticeSport,WklyStudyHours,MathScore,ReadingScore,WritingScore,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E
1,0,2,1,0.5,1,1,0.69,0.9,0.88,0,0,1,0,0
2,0,5,1,0.0,1,0,0.87,0.93,0.91,0,1,0,0,0
3,1,3,0,0.0,0,1,0.45,0.56,0.42,1,0,0,0,0
4,1,2,1,0.0,1,1,0.76,0.78,0.75,0,0,1,0,0
5,0,3,1,0.0,2,1,0.73,0.84,0.79,0,1,0,0,0
6,0,2,1,1.0,0,1,0.85,0.93,0.89,0,1,0,0,0
7,1,2,0,0.0,1,2,0.41,0.43,0.39,0,1,0,0,0
8,1,1,0,1.0,1,2,0.65,0.64,0.68,0,0,0,1,0
9,0,1,0,0.0,2,0,0.37,0.59,0.5,0,1,0,0,0
10,1,3,1,0.0,1,1,0.58,0.54,0.52,0,0,1,0,0
11,1,3,1,0.0,1,1,0.4,0.52,0.43,0,0,0,1,0
12,0,1,1,0.0,2,1,0.66,0.82,0.74,0,1,0,0,0
13,1,2,1,1.0,1,2,0.8,0.73,0.71,1,0,0,0,0
14,0,5,1,0.0,1,0,0.48,0.53,0.58,1,0,0,0,0
16,1,1,1,0.5,1,1,0.88,0.89,0.86,0,0,1,0,0
17,0,0,0,0.0,1,1,0.18,0.32,0.28,0,1,0,0,0
18,1,5,0,1.0,1,1,0.46,0.42,0.47,0,0,1,0,0
19,0,3,0,0.0,0,0,0.5,0.56,0.58,0,0,1,0,0
20,1,1,1,0.0,1,1,0.66,0.69,0.63,0,0,0,1,0
21,0,2,0,1.0,1,1,0.65,0.75,0.7,0,1,0,0,0
23,0,0,1,0.0,0,1,0.66,0.71,0.71,0,0,1,0,0
25,1,5,0,0.0,2,1,0.75,0.76,0.76,1,0,0,0,0
26,1,2,1,0.0,1,0,0.66,0.53,0.53,0,1,0,0,0
27,0,4,1,0.0,1,2,0.69,0.7,0.76,0,0,1,0,0
28,1,1,1,0.0,1,1,0.7,0.7,0.65,0,0,1,0,0
29,0,2,1,0.0,1,0,0.66,0.72,0.72,0,0,0,1,0
30,0,2,1,0.0,1,1,0.63,0.65,0.61,0,1,0,0,0
31,0,5,0,0.0,1,1,0.56,0.73,0.66,0,0,0,0,1
34,1,3,1,1.0,1,1,0.81,0.81,0.79,0,0,0,0,1
35,0,3,1,0.0,2,1,0.76,0.82,0.85,0,0,0,1,0
36,0,0,0,0.0,2,1,0.51,0.64,0.6,0,0,0,1,0
37,0,3,0,1.0,2,1,0.77,0.91,0.9,0,0,0,1,0
38,1,3,0,0.0,2,1,0.58,0.56,0.58,0,1,0,0,0
39,1,3,0,0.0,0,1,0.53,0.6,0.52,0,0,1,0,0
40,0,3,1,0.0,2,1,0.59,0.74,0.69,0,0,1,0,0
41,1,2,0,0.5,2,1,0.6,0.65,0.67,0,1,0,0,0
42,0,3,0,0.0,1,0,0.48,0.55,0.52,0,0,0,0,1
43,1,3,1,0.0,1,0,0.63,0.53,0.55,0,1,0,0,0
44,0,1,1,0.0,2,1,0.67,0.72,0.77,0,0,1,0,0
45,1,1,1,1.0,1,1,0.82,0.84,0.82,0,0,1,0,0
48,1,2,1,0.0,2,2,0.56,0.45,0.43,0,0,1,0,0
49,1,1,1,0.0,1,1,0.88,0.78,0.75,0,0,0,1,0
51,0,1,0,0.0,1,1,0.33,0.41,0.43,0,0,1,0,0
52,0,3,1,1.0,1,2,0.84,0.86,0.87,0,0,0,0,1
53,1,3,1,0.0,1,1,0.52,0.55,0.49,0,0,0,1,0
55,0,0,0,0.0,2,2,0.0,0.17,0.1,0,0,1,0,0
56,1,0,0,0.0,1,1,0.39,0.39,0.34,1,0,0,0,0
